"q_id","combined"
"f477742c","<en> Which actor was Stephenie Meyer's first choice to play Edward Cullen in the movie Twilight?  <ar> مَن الممثل الذي وقع عليه الاختيار الأول للكاتبة ستيفاني ماير للعب دور ""إدوارد كولن"" في فيلم ""الشفق""؟  <de> Welcher Schauspieler war Stephanie Meyers erste Wahl für die Rolle des Edward Cullen in dem Film Twilight – Biss zum Morgengrauen?  <es> ¿Qué actor fue la primera opción de Stephanie Meyer para interpretar a Edward Cullen en la película Crepúsculo?  <fr> Quel acteur Stephanie Meyer a-t-elle choisi en premier pour jouer le rôle d’Edward Cullen dans le film Twilight ?  <it> Quale attore era stata la prima scelta di Stephanie Meyer per interpretare Edward Cullen nel film Twilight?  <ja> 映画トワイライトでエドワードカレンを演じた、ステファニー・メイヤーが初めて選んだ俳優は誰ですか？"
"650e81a3","<en> What is the longest lake in the world?  <ar> ما أطول بحيرة في العالم؟  <de> Welcher See ist der längste der Welt?  <es> ¿Cuál es el lago más largo del mundo?  <fr> Quel est le lac le plus long du monde ?  <it> Qual è il lago più lungo del mondo?  <ja> 世界で一番長い湖はなんですか？"
"33ed28dd","<en> Who was a member of the 2004 U.S. Olympic men's swim team and born in Baltimore, Maryland?  <ar> مَن كان عضوًا في فريق الولايات المتحدة الأوليمبي للسباحة عام 2004 ووُلِد في بالتيمور بميريلاند؟  <de> Wer gehörte 2004 zur olympischen, Schwimmstaffel der Vereinigten Staaten und wurde in Baltimore, Maryland geboren?  <es> ¿Quién fue miembro del equipo olímpico de natación masculino de Estados Unidos en 2004 y nació en Baltimore, Maryland?  <fr> Quel membre de l’équipe olympique masculine de natation des États-Unis de 2004 est né à Baltimore, dans le Maryland ?  <it> Chi era un membro della squadra olimpica di nuoto maschile americana del 2004 ed è nato a Baltimora, Maryland?  <ja> メリーランド州ボルチモアで生まれ、2004年オリンピックのアメリカ代表男子水泳チームのメンバーだったのは誰ですか？"
"9508d042","<en> How many Pulitzer Prizes has Colson Whitehead won?  <ar> كم عدد جوائز ""البوليتزر"" التي فاز بها كولسون وايتهيد؟  <de> Wie viele Pulitzer-Preise gewann Colson Whitehead?  <es> ¿Cuántos premios Pulitzer ha ganado Colson Whitehead?  <fr> De combien de prix Pulitzer Colson Whitehead est-il le lauréat ?  <it> Quanti premi Pulitzer ha vinto Colson Whitehead?  <ja> コルソンホワイトヘッドが獲得したピューリッツァー賞の数はいくつですか？"
"47feccd4","<en> Which movie had a higher lifetime gross, Jurassic World or The Lion King?  <ar> أي فيلم حصل على إيرادات أعلى طول الحياة، العالم الجوراسي أم الأسد الملك؟  <de> Welcher Film hatte ein höheres Einspielergebnis, „Jurassic World“ oder Der König der Löwen?  <es> ¿Qué película tuvo mayor recaudación: Mundo Jurásico o El Rey León?  <fr> Quel film est resté le plus rentable à vie : Jurassic World ou Le Roi lion ?  <it> Quale film ha registrato maggiori incassi nel tempo, Jurassic World o Il re Leone?  <ja> ""『ジュラシックワールド』とライオンキング』では、どちらが興行収入は多かったですか？"""
"4c5901ae","<en> Which movie had a bigger budget, The Wizard of Oz or Gone With The Wind?  <ar> أي فيلم له أكبر ميزانية، ساحر أوز أم ذهب مع الريح؟  <de> Welcher Film hatte ein größeres Budget, „Der Zauberer von Oz“ oder „Vom Winde verweht“?  <es> ¿Qué película contó con mayor presupuesto: El mago de Oz o Lo que el viento se llevó?  <fr> Quel film a eu un plus gros budget : Le Magicien d’Oz ou Autant en emporte le vent ?  <it> Quale film ha avuto il budget più alto, Il mago di Oz o Via col vento?  <ja> ""「オズの魔法使い」と「風と共に去りぬ」、多額の制作費用がかかったのはどっち?"""
"375001ec","<en> Was The Godfather released after 1970?  <ar> هل أُطلق فيلم ""العراب"" بعد عام 1970؟  <de> Erschien „Der Pate“ nach 1970?  <es> ¿El Padrino se estrenó después de 1970?  <fr> Le Parrain est-il sorti après 1970 ?  <it> ""Il padrino"" è uscito dopo il 1970?  <ja> ""「ゴッド・ファーザー」が公開されたのは1970年より後ですか？"""
"3263c8a7","<en> Did Avengers or The Lion King have the highest budget in 2019?  <ar> هل حقق فيلم المنتقمون أو فيلم الأسد الملك أعلى ميزانية في عام 2019؟  <de> Hatte „Avengers“ oder „Der König der Löwen“ 2019 das höchste Budget?  <es> ¿Qué película tuvo el mayor presupuesto en 2019: Avengers o El Rey León?  <fr> Avengers ou le Roi Lion ont-ils eu le plus gros budget en 2019 ?  <it> Avengers o Il re leone hanno avuto il budget più grande nel 2019?  <ja> 2019年で最も高額な予算をかけたのは、アベンジャーズとライオンキングのどちらですか？"
"7175a825","<en> Between The Notebook and Dear John, which movie was more profitable worldwide?  <ar> أي فيلم كان الأكثر ربحية في العالم، دفتر الملاحظات أم عزيزي جون؟  <de> Welcher Film war weltweit finanziell erfolgreicher, „Wie ein einziger Tag“ oder „Dear John - das Leuchten der Stille“?  <es> Entre Diario de una pasión y Querido John, ¿cuál película fue más rentable en todo el mundo?  <fr> Entre N’oublie jamais et Cher John, lequel de ces films a été le plus rentable au niveau mondial ?  <it> Tra Le pagine della nostra vita e Dear John, quale film ha avuto più incassi a livello mondiale?  <ja> ""「君に読む物語」と「親愛なるきみへ」では、どちらの映画が世界での収益が高かったですか？"""
"0d9c0aba","<en> Was The Fifth Element released the same year as The Full Monty?  <ar> هل صدر فيلم العنصر الخامس في نفس عام صدور فيلم كل ماهو مطلوب؟  <de> Kam „Das fünfte Element” im selben Jahr wie „Ganz oder gar nicht” ins Kino?  <es> ¿El Quinto Elemento se estrenó el mismo año que The Full Monty?  <fr> Le Cinquième Élément est-il sorti la même année que The Full Monty ?  <it> Il quinto elemento è uscito nello stesso anno di Squattrinati organizzati?  <ja> フィフス・エレメントは、フル・モンティと同じ年に公開されましたか？"
"58706029","<en> How many of the Godfather movies did James Caan act in?  <ar> كم فيلم من سلسلة أفلام العراب مثّل فيه جيمس كان؟  <de> In wie vielen „Der Pate“-Filmen spielte James Caan mit?  <es> ¿En cuántas películas de El Padrino actuó James Caan?  <fr> Dans combien de films Le Parrain James Caan a-t-il joué ?  <it> In quanti film de Il padrino ha recitato James Caan?  <ja> ジェームズ・カーンは、何作の映画「ゴッドファーザー」シリーズに出演しているでしょう?"
"4de034f6","<en> In how many Pirates of the Caribbean movies did Johnny Depp portray Captain Jack Sparrow?  <ar> كم عدد أفلام سلسة قراصنة الكاريبي التي تقمص فيها جوني ديب كابتن جاك سبارو؟  <de> In wie vielen „Fluch der Karibik“ Filmen hat Jonny Depp Jack Sparrow gespielt?  <es> ¿En cuántas de las películas de Piratas del Caribe Johnny Depp interpretó al Capitán Jack Sparrow?  <fr> Combien de films de la saga Les Pirates des Caraïbes ont-ils vu Johnny Depp incarner le personnage connu sous le nom de capitaine Jack Sparrow ?  <it> In quanti film de I Pirati dei Caraibi Johnny Depp ha interpretato il Capitano Jack Sparrow?  <ja> ジョニー・デップが、パイレーツ・オブ・カリビアンでジャック・スパロウを演じているのは何作品ありますか？"
"4df2564a","<en> How many Pirates of the Caribbean movies are there?  <ar> ما عدد الأفلام التي حملت عنوان ""قراصنة الكاريبي""؟  <de> Wie viele „Fluch der Karibik”-Filme gibt es?  <es> ¿Cuántas películas de Piratas del Caribe hay?  <fr> Combien y a-t-il de films Pirates des Caraïbes ?  <it> Quanti film de I Pirati dei Caraibi ci sono?  <ja> 映画パイレーツ・オブ・カリビアンは何作ありますか？"
"5a7a384e","<en> Which 1952 Gene Kelly movie failed to earn a Best Picture nod at the Oscars that year?  <ar> أي من أفلام جين كيلي التي عرضت عام 1952 لم تحصل على جائزة أوسكار أفضل صورة عن ذلك العام؟  <de> Welcher Gene-Kelly-Film aus dem Jahr 1952 wurde im selben Jahr nicht für einen Oscar für den besten Film nominiert?  <es> ¿Qué película del año 1952 en la que actuó Gene Kelly, no ganó el Óscar a la mejor película de ese año?  <fr> Quel est le nom du film du réalisateur Gene Kelly, sorti en 1952 et qui n’a pas pu remporter l’Oscar du meilleur film la même année ?  <it> Qual è il film di Gene Kelly del 1952 che non ha ricevuto la candidatura per il premio Oscar al miglior film di quell'anno?  <ja> 1952年のジーン・ケリー映画でその年のアカデミー賞最優秀映画部門の受賞を逃した作品は？"
"5d65d703","<en> Which Pirates of the Caribbean movie did Keira Knightley not appear in?  <ar> أي من أفلام سلسلة قراصنة الكاريبي لم تشارك فيها كيرا نايتلي؟  <de> In welchem „Fluch der Karibik”-Film spielte Keira Knightley nicht mit?  <es> ¿En qué película de Piratas del Caribe ni apareció Keira Knightkley?  <fr> Dans quel film de la série de films Pirates des Caraïbes Keira Knightley n’apparaît-elle pas ?  <it> In quale film de I pirati dei caraibi non ha recitato Keira Knightley?  <ja> 「パイレーツ・オブ・カリビアン」シリーズのなかでキーラ・ナイトレイが出演しなかったのはどれですか？"
"fa08c557","<en> Which The Godfather movie was not released in the 1970s?  <ar> أي من أفلام سلسلة العراب لم يُطرح في السبعينيات؟  <de> Welcher „Der Pate“-Film kam nicht in den 1970ern ins Kino?  <es> ¿Qué película de la saga El Padrino no se estrenó en la década de 1970?  <fr> Quel volet de la saga Le Parrain n’est pas sorti dans les années 1970 ?  <it> Quale film de Il Padrino non è uscito negli anni ‘70?  <ja> 1970年代に公開されなかったゴッドファーザーの映画はどれですか？"
"66e66d5d","<en> Who starred in ""Rebel Without a Cause"" but was not awarded an Academy Award for his/her acting?  <ar> من الذي قام ببطولة فيلم ""Rebel Without a Cause"" ولكن لم يحصل على جائزة الأوسكار عن دوره/ دورها في الفيلم؟  <de> Wer spielte eine Hauptrolle in „...denn sie wissen nicht, was sie tun“, gewann aber keinen Oscar dafür?  <es> ¿Quién protagonizó ¨Rebelde sin Causa¨ pero no ganó un Premio de la Academia por su actuación?  <fr> Qui a joué le rôle principal dans « La Fureur de vivre » mais n’a pas remporté d’Oscar du cinéma pour son rôle ?  <it> Chi è stato protagonista di ""Gioventù bruciata"" senza però vincere alcun premio per la sua interpretazione?  <ja> ""アカデミー賞主演男優／女優賞は獲得できなかったものの、「理由なき反抗」に主演したのは誰ですか？"""
"9bcc144a","<en> Which Lawrence of Arabia actor was nominated for Best Actor but did not win?  <ar> من الممثل الذي شارك في فيلم لورانس العرب ورشح لجائزة أفضل ممثل، لكنه لم يفز بها؟  <de> Welcher „Lawrence von Arabien“-Darsteller wurde als Bester Schauspieler nominiert, gewann aber nicht?  <es> ¿Qué actor de la película Lawrence de Arabia fue nominado como Mejor Actor pero no ganó?  <fr> Lequel des acteurs du film Lawrence d’Arabie a été nominé pour l’Oscar du meilleur acteur, mais ne l’a pas remporté ?  <it> Quale attore di Lawrence d'Arabia è stato candidato come Miglior Attore ma non ha vinto?  <ja> アラビアのロレンスを演じた俳優で、アカデミー主演男優賞にノミネートされながらも、受賞できなかったのは誰ですか？"
"4001d7e5","<en> Which Matrix movie did Lilly Wachowski not direct?  <ar> أي من أفلام سلسلة ماتريكس لم تكن من إخراج آندي واتشوسكي؟  <de> Bei welchem „Die Matrix“-Film hat Lily Wachowski nicht Regie geführt?  <es> ¿Cuál de las películas de Matrix no fue dirigida por Lily Wachowski?  <fr> Quel film de Matrix n’a pas été réalisé par Lily Wachowski ?  <it> Quale film della serie Matrix non è stato diretto da Lily Wachowski?  <ja> マトリックスの映画で、リリー・ウォシャウスキーが監督しなかったのはどれですか？"
"1cbe8494","<en> Which actor played James Bond and was from Ireland?  <ar> أي ممثل لعب دور جيمس بوند وكان من أيرلندا؟  <de> Welcher aus Irland stammende Schauspieler spielte James Bond?  <es> ¿Qué actor irlandés retrató a James Bond?  <fr> Quel acteur d’origine irlandaise a joué James Bond ?  <it> Quale attore irlandese ha interpretato James Bond?  <ja> アイルランド出身で、ジェームズ・ボンドを演じた俳優は誰ですか？"
"15a76dda","<en> Who starred in The Graduate and achieve the Triple Crown of Acting?  <ar> مَن مثّل في الخريج وحقق جائزة Triple Crown of Acting؟  <de> Wer spielte in „Die Reifeprüfung“ mit und gewann die Triple Crown of Acting?  <es> ¿Quién trabajó en El graduado y obtuvo el premio Triple Crown of Acting?  <fr> Qui a joué dans Le Lauréat et a remporté la triple couronne d’acteur ?  <it> Chi ha recitato ne Il laureato e ha ottenuto la tripla corona della recitazione?  <ja> 演技の三冠王達成した、ザ・グラジュエットを演じた人が誰ですか"
"93ce505b","<en> Which actress is married to Ryan Reynolds and starred in Black Widow?  <ar> مَن الممثلة التي تزوجت من رايان رينولدز وقامت ببطولة فيلم الأرملة السوداء؟  <de> Welche Schauspielerin war mit Ryan Renolds verheiratet und spielte in „Black Widow” mit?  <es> ¿Qué actriz estuvo casada con Ryan Renolds y protagonizó Black Widow?  <fr> Quelle actrice a été mariée avec Ryan Renolds et joue dans Black Widow ?  <it> Quale attrice era sposata con Ryan Renolds ed ha interpretato Black Widow?  <ja> ライアン・レイノルズと結婚した、ブラック・ウィドウに出演している女優は誰ですか？"
"87b569b1","<en> Which actress was in Gone with the Wind and in A Streetcar Named Desire?  <ar> من الممثلة التي شاركت في ""ذهب مع الريح"" و""عربة اسمها الرغبة""؟  <de> Welche Schauspielerin spielte in „Vom Winde verweht“ und „Endstation Sehnsucht“?  <es> ¿Qué actriz trabajó en Lo que el viento se llevó y en Un tranvía llamado deseo?  <fr> Quelle actrice a joué dans Autant en emporte le vent et dans Un tramway nommé Désir ?  <it> Quale attrice ha recitato in Via col vento e in Un tram che si chiama Desiderio?  <ja> 『風と共に去りぬ』と『欲望という名の電車』に出演した女優は誰ですか？"
"bad12250","<en> Which actor played Spider-Man and was born in England?  <ar> مَن هو الممثل الذي قام بدور الرجل العنكبوت وولد في إنجلترا؟  <de> Welcher in England geborene Schauspieler spielte Spiderman?  <es> ¿Qué actor interpretó el hombre araña y nació en Inglaterra?  <fr> Quel acteur joue Spiderman et est né en Angleterre ?  <it> Quale attore ha interpretato Spiderman ed è nato in Inghilterra?  <ja> イングランド出身で、スパイダーマンを演じた俳優は誰ですか？"
"96a9bd38","<en> Which actor was in Pirates of the Caribbean and was a pen salesman before his acting career?  <ar> من الممثل الذي شارك في فيلم قراصنة الكاريبي وكان بائع أقلام قبل أن يبدأ مشواره الفني؟  <de> Welcher Schauspieler aus „Fluch der Karibik“ hat vor seiner Schauspielkarriere Kugelschreiber verkauft?  <es> ¿Qué actor apareció en Piratas del Caribe y era un vendedor de bolígrafos antes empezar su carrera como actor?  <fr> Lequel des acteurs de la saga des Pirates des Caraïbes fut vendeur de stylos au départ avant d’embrasser la carrière de cinéaste ?  <it> Quale attore ha recitato nei Pirati dei Caraibi e prima della carriera di attore vendeva penne?  <ja> パイレーツ・オブ・カリビアンに出演していた俳優で、俳優になる前はペンのセールスマンをした？そん方は誰ですか"
"e74425b1","<en> Which actress in Blue Lagoon graduated from Princeton University?  <ar> من هي الممثلة التي تخرجت في جامعة برينستون في بلو لاجون؟  <de> Welche Schauspielerin aus „Die blaue Lagune“ hat eine Abschluss der Princeton University?  <es> ¿Qué actriz del Lago azul se graduó en la Universidad de Princeton?  <fr> Quelle actrice du film Le Lagon bleu est sortie de l’Université de Princeton ?  <it> Quale attrice in Laguna blu si è laureata alla Princeton University?  <ja> 『ブルーラグーン』でプリストン大学を卒業した女優は？"
